name,region_clean,address_city,facilityTypeId,is_ngo,enriched_capability,procedure_text,specialties_text,equipment_text,description,confidence
St Benito Menni Hospital,Ashanti,Dompoase,hospital,FALSE,"24 hour emergency | Day care centre for patients with mental and physical disabilities. | Has a pathology laboratory. | Has an ambulance. | Hospital has a medical outreach team for home visits. | Offers ultrasound imaging (Ultra Sound Scan). | Offers ultrasound scanning (Ultra Sound Scan). | Outpatient unit is open from 8:00 am to 3:00 pm. | Outpatient unit serves a rural population of 20,000 people. | accident and emergency | antenatal care | blood tests | child health | children care | delivery | diagnostic testing | emergency care | emergency medicine | eye care | eye surgery | general medicine | inpatient care | internal medicine | laboratory services | labour ward | maternity | maternity care | mental health | neonatal care | obstetrics | optical services | outpatient care | pathology lab | pediatric care | psychiatric care | trauma care",Offers ultrasound scanning (Ultra Sound Scan).,internalMedicine | gynecologyAndObstetrics | ophthalmology | psychiatry | physicalMedicineAndRehabilitation | pathology | emergencyMedicine | pediatrics,Has a pathology laboratory. | Has an ambulance. | Offers ultrasound imaging (Ultra Sound Scan).,"St. Benito Menni Hospital is located at Dompoase in the Adansi North District of the Ashanti Region of Ghana, and provides general medical services and a day care centre for patients with mental and physical disabilities.",High
Allen Health Clinic - Ghana,Upper West,Wamasi,clinic,FALSE,"Has laboratory | Has laboratory services | Has pharmacy | Has pharmacy services | Has radiology equipment | Has radiology services | Listed in categories: Hospitals, Medical Clinics, Nursing and Care, Healthcare Services | Performs surgery | Provides dentistry services | Provides general medical services | general medicine | inpatient care | internal medicine | outpatient care",Provides general medical services | Provides dentistry services | Performs surgery | Has laboratory services | Has radiology services | Has pharmacy services,internalMedicine,Has laboratory | Has radiology equipment | Has pharmacy,"Allen Health Clinic is a government clinic in Ashanti, Wamasi Ghana.",Medium
Superior Medical Centre,Greater Accra,Greater Accra,hospital,FALSE,24 hour emergency | Antenatal services include consultations with medical specialists and ultrasound scans. | Medical Director is Dr Edward Nasigrie Mahama | Medical Officers include Dr Laud K. O. Kassim and Dr Doreen A. Akum-Yong | Offers 24/7 availability of services | On-site ultrasound equipment used for antenatal scans. | Staffed by duly qualified and registered physicians and nurses | The centre focuses on high-standard surgical procedures using advanced surgical technology | accident and emergency | antenatal care | delivery | emergency care | emergency surgical care | general medicine | general surgery | inpatient care | internal medicine | labour ward | maternity | maternity care | obstetrics | operating theatre | outpatient care | surgery | surgical procedures,Antenatal services include consultations with medical specialists and ultrasound scans.,internalMedicine | gynecologyAndObstetrics | generalSurgery,On-site ultrasound equipment used for antenatal scans.,"Superior Medical Centre offers outstanding and compassionate healthcare services that contribute to the well-being of our community. We are dedicated to providing excellent, patient-centered care with an emphasis on patient education.",High
Danpong HealthCare,Greater Accra,Accra,clinic,FALSE,Accepts insurance from over 30 local and international providers | Ambulance service for pre-hospital emergency care | Danpong App available on Google Play and Apple App Store | Danpong on Wheels provides homecare services | ENT services | Has 5 branches (noted as 5 BRANCHES AND COUNTING) | Performs radiological procedures using advanced imaging technology | Pharmacy provides 24-hour service | Schedule indicates 24/7 availability | Spintex and Nungua branches provide 24/7 support | X-ray machine with advanced technology | bone surgery | child health | children care | dental care | dental surgery | diagnostic imaging | ear nose throat | eye care | eye surgery | fracture treatment | imaging services | neonatal care | optical services | orthopedic surgery | otolaryngology | pediatric care | radiology | tooth extraction | ultrasound | urological procedures | urology services | x-ray,Performs radiological procedures using advanced imaging technology,urology | pediatrics | dentistry | ophthalmology | otolaryngology | radiology | orthopedicSurgery | chronicDiseasePreventionAndLifestyleMedicine | endocrinologyAndDiabetesAndMetabolism,X-ray machine with advanced technology,"Danpong HealthCare is a private healthcare network in Accra, Ghana. It started as Danpong Pharmacy in 1989 and has grown into a multi-service healthcare provider offering imaging, general clinic, ENT, medical lab, pharmacy, X-ray, urology, ambulance service, paediatrics, dietetics, diabetic and hypertensive clinic, homecare (Danpong on Wheels), dental, psychology, optometry and orthopedic clinics.",High
Integrated Diagnostic Solutions,Greater Accra,Ashaiman,clinic,FALSE,Conducts laboratory investigations | Electrocardiography (ECG) equipment | Executes electrocardiograms (ECG) | Mammography equipment | Operates in two regions: Greater Accra Region and Western Region | Performs X-ray imaging | Performs mammography | Performs ultrasound scanning | Pursues ISO accreditation | Ultrasound machines | X-ray imaging equipment | diagnostic imaging | imaging services | laboratory services | radiology | ultrasound | x-ray,Performs ultrasound scanning | Executes electrocardiograms (ECG) | Performs mammography | Performs X-ray imaging | Conducts laboratory investigations,anatomicPathology | radiology,Ultrasound machines | Electrocardiography (ECG) equipment | Mammography equipment | X-ray imaging equipment,"Integrated Diagnostic Solutions Ltd. began in 2013 as an ultramodern diagnostic centre in Ashaiman located on the first floor of Senaky Plaza Building. It currently operates in two regions in Ghana (the Greater Accra and Western Region), has seven affiliates at Ashaiman and Tema municipality and Takoradi. It can boast of state of the art equipment, capable of undertaking several laboratories investigations, ultrasound scan, Electrocardiogram, Mammogram and X-ray. I.D.S had always made quality its priority to become the leaders in diagnostics in Ghana and a center of research after the quest for International Organization for Standardization (ISO) accreditation. We believe in diagnostics as the essential tool in patient management, therefore, our facilities are manned by highly qualified, competent and experienced staffs who are capable of delivering excellent results and hence our motto: “if it’s there, we will find it…”",High
Benso Health Centre - Ghana,Western,Benso,clinic,FALSE,Has dentistry unit | Has emergency department | Has general medical unit | Has laboratory | Has laboratory department | Has laboratory services | Has maternity unit | Has pediatrics unit | Has pharmacy | Has pharmacy department | Has pharmacy services | Has radiology department | Has radiology equipment | Has radiology services | Has surgical equipment | Has surgical unit | Performs surgery | Provides 24/7 emergency care | Provides dentistry services | Provides emergency services | Provides general medical services | Provides maternity services | Provides pediatrics services | general medicine | inpatient care | internal medicine | outpatient care,Provides general medical services | Provides dentistry services | Performs surgery | Has laboratory services | Has radiology services | Has pharmacy services | Provides pediatrics services | Provides maternity services | Provides emergency services,internalMedicine,Has laboratory | Has radiology equipment | Has pharmacy | Has surgical equipment,"Benso Health Centre is a government health centre in Western, Benso Ghana.",Medium
Dande Natural Herbal Clinic,Brong Ahafo,Techiman,clinic,FALSE,"Based in Techiman, Kenten, Techiman, Ghana. | Dande Natural Herbal Clinic provides health care services. | Diagnose with a machine | Diagnoses with a machine. | Has a machine for diagnosis | Provides health care services | Treat patients | general medicine | inpatient care | internal medicine | outpatient care",Diagnose with a machine | Treat patients | Provides health care services,internalMedicine,Has a machine for diagnosis,"Everything about Dande Natural Herbal Center is Health Care. No matter the condition, your problems will be solved within no time. Dande Natural Herbal Center, we diagnose with a machine and treat you one time.",High
Sefwi Wiawso District Hospital,Western North,Sefwi Wiawso,hospital,FALSE,"24 hour emergency | Friday hours are 6:00 am to 6:00 pm | Government primary hospital | NHIS accredited | Operates 24 hours on Monday, Tuesday, Wednesday, Thursday, Saturday, and Sunday | accident and emergency | emergency care | emergency medicine | general medicine | inpatient care | internal medicine | outpatient care | trauma care",Provides general internal medicine consultations | Provides emergency and trauma care,internalMedicine | emergencyMedicine,,Sefwi Wiawso District Hospital is a government primary hospital in P.o.box 7 Sefwi Wiawso Ghana. It offers a general services. This primary hospital is NHIS accredited.,High
Bimbilla Hospital,Northern,Bimbilla,hospital,FALSE,Government primary hospital | NHIS accredited | general medicine | inpatient care | internal medicine | outpatient care,Provides general internal medicine consultations,internalMedicine,,"Bimbilla Hospital is a government primary hospital in Northern, Bimbilla Ghana. It offers a general services. This primary hospital is NHIS accredited.",High
MANAM Ghana Dental House,Greater Accra,Accra,dentist,FALSE,Offers a comprehensive set of oral care services | dental care | dental surgery | tooth extraction,Provides dental care and oral health services,dentistry,,"we are located in osu,behind koala /opposite Rabito clinic.we offer a comprehensive set of oral care",Medium
Blessings Clinic,Greater Accra,Tesano,hospital,FALSE,"Blessings Clinic provides comprehensive healthcare services for community wellness. | GhanaYello listing for Blessings Clinic was registered on 12 Apr, 2018. | Has 0 reviews on GhanaYello. | Has laboratory | Has pharmacy | Has radiology equipment | Performs surgery | Provides emergency services | Provides general medical services | general medicine | inpatient care | internal medicine | outpatient care",Provides general medical services | Provides emergency services | Performs surgery,internalMedicine,Has laboratory | Has pharmacy | Has radiology equipment,"Blessings Clinic is a private hospital in Greater Accra, Tesano Ghana.",Medium
Manna Mission Hospital,Greater Accra,Accra,hospital,FALSE,"234 people checked in here | Based in Accra, Ghana | general medicine | inpatient care | internal medicine | outpatient care",Provides general internal medicine consultations,internalMedicine,,Manna Mission Hospital Recognized by Ledzokuku Municipal Health Directorate (GHS) under Ghana ministry of health in Greater Accra Ghana as - The Best Private Health Facility - Timely and Accurate Data Submission in 2024,High
Cura Healthcare Services,Greater Accra,Accra,clinic,FALSE,"ECG is provided | ECG machine | ECHOcardiography is provided | General medical laboratory equipment for diagnostic testing | Has 2-10 employees | Headquartered in Accra, Greater Accra, Ghana | ICU | Medical laboratory tests are provided | Offers doctor consultations | Offers mobile/home diagnostic services | Primary location: Accra, Greater Accra 00233, GH | Self-owned company | Ultrasound imaging (scans) is provided | Ultrasound imaging equipment | cardiac care | cardiology services | diagnostic imaging | heart treatment | imaging services | intensive care | intensive care unit | laboratory services | radiology | ultrasound | x-ray",Ultrasound imaging (scans) is provided | ECHOcardiography is provided | ECG is provided | Medical laboratory tests are provided,radiology | cardiology | clinicalPathology,Ultrasound imaging equipment | ECG machine | General medical laboratory equipment for diagnostic testing,"A leading provider of quality, reliable and convenient ultrasound scans. Delivering diagnostic imaging you can trust.",High
Crystal Eye Clinic Ghana,Greater Accra,Accra,clinic,FALSE,Has eye care machines | Has ophthalmic equipment | Has ophthalmic nursing department | Has optometry department | Performs eye surgery | Provides ophthalmology services | Website crystaleyeclinic.com | eye care | eye surgery | optical services,Provides ophthalmology services | Performs eye surgery | Has optometry department | Has ophthalmic nursing department,ophthalmology,Has ophthalmic equipment | Has eye care machines,"Founded in 2003 by Dr. James and Dr. Mrs. Edith Clarke; located in Accra, Ghana.",Medium
Crystal Eye Clinic,Greater Accra,Accra,clinic,FALSE,"Booking available via Book an Appointment page | Cornea transplant | Eye surgery | Mission: To provide affordable quality eye-care in an accessible, safe and friendly environment | OCT imaging (Optical Coherence Tomography) | OCT imaging equipment (Optical Coherence Tomography) | Office hours: Monday–Friday 8:30am–2pm; Saturday 9am–12pm; Sunday Closed | Phone numbers: Consulting Room 0302514722, Reception 0302514723, Administration 0362196624 | Refraction | Vision: To be a world class eye-care provider | Visual field test | YAG laser capsulotomy | YAG laser system | eye care | eye surgery | operating theatre | optical services | surgery | surgical procedures",YAG laser capsulotomy | Eye surgery | Refraction | Cornea transplant | Visual field test | OCT imaging (Optical Coherence Tomography),ophthalmology | corneaOphthalmology | glaucomaOphthalmology,OCT imaging equipment (Optical Coherence Tomography) | YAG laser system,"Our Vision: To be a world class eye-care provider. Our Mission: To provide affordable quality eye-care in an accessible, safe and friendly environment. Services include Frames & Lenses, Yag Laser Capsulotomy, Eye Surgery, Refraction, Cornea Transplant, and Visual Field Test.",High
Ospedale Didattico di Tamale,Northern,Tamale,hospital,FALSE,24 hour emergency | Anesthesia equipment | ENT services | Manual operating table | Maternal-infantile department with 18 beds | Plans to achieve financial autonomy and self-sufficiency | Projected catchment population of 7 million | Two operating theatres | Two operating theatres completed and equipped for general surgery and urology | accident and emergency | antenatal care | bone surgery | brain surgery | child health | children care | delivery | dialysis | ear nose throat | emergency care | emergency surgical care | fracture treatment | general medicine | general surgery | inpatient care | internal medicine | kidney care | labour ward | maternity | maternity care | neonatal care | neurosurgery | obstetrics | operating theatre | orthopedic surgery | otolaryngology | outpatient care | pediatric care | renal services | spine surgery | surgery | surgical procedures | urological procedures | urology services,"Two operating theatres completed and equipped for general surgery and urology | The center conducts screening, diagnostic, and treatment activities for surgical and medical cases as part of its objectives",urology | generalSurgery | neurosurgery | orthopedicSurgery | otolaryngology | gynecologyAndObstetrics | pediatrics | oralAndMaxillofacialSurgery | nephrology | anesthesia | criticalCareMedicine | internalMedicine | maternalAndChildHealth,Manual operating table | Anesthesia equipment | Two operating theatres,L’Ospedale Didattico di Tamale è un centro di assistenza terziaria che offre cure specialistiche.,Medium
Precious Gem Diagnostic Centre,Greater Accra,Accra,clinic,FALSE,HEFRA approved facility | Mammography equipment | Performs X-ray imaging | Performs mammography | Performs ultrasound imaging | Radiologists on staff | Ultrasound machine | Website: preciousgemdiagnostics.com | X-ray imaging equipment | diagnostic imaging | imaging services | laboratory services | radiology | ultrasound | x-ray,Performs X-ray imaging | Performs ultrasound imaging | Performs mammography,radiology,X-ray imaging equipment | Ultrasound machine | Mammography equipment,"HEFRA-approved diagnostic facility offering x-ray, ultrasound and mammogram services.",Medium
Adiebeba Specialist Hospital,Ashanti,Kumasi,hospital,FALSE,"24 hour emergency | Available seven days a week with around-the-clock operations | Breast cancer screening, vaccination and treatment of all stages | Cervical cancer screening, vaccination and treatment | Clinical and nursing care provided to international standards | Emergency department provides 24-hour emergency services with sophisticated interventions | Eye care with comprehensive eye and vision examination | Laboratory services conducting investigations | Obstetrics and Gynecology services | Pediatrics (Child Welfare) services for neonates, infants, children, and adolescents | Pharmacy services dispensing drugs to in-patients and out-patients | Pioneers in private sector healthcare delivery in Ghana | State-of-the-art technology | Surgery department undertakes all aspects of surgical procedures | Ultramodern equipment | Ultrasound (USG) and electrocardiography (ECG) services | Urology services | accident and emergency | antenatal care | blood tests | child health | children care | delivery | diagnostic imaging | diagnostic testing | emergency care | emergency medicine | emergency surgical care | eye care | eye surgery | general medicine | general surgery | imaging services | inpatient care | internal medicine | laboratory services | labour ward | maternity | maternity care | mental health | neonatal care | obstetrics | operating theatre | optical services | outpatient care | pathology lab | pediatric care | psychiatric care | radiology | surgery | surgical procedures | trauma care | ultrasound | urological procedures | urology services | x-ray","Cervical cancer screening, vaccination and treatment | Breast cancer screening, vaccination and treatment of all stages | Eye care with comprehensive eye and vision examination | Surgery department undertakes all aspects of surgical procedures | Urology services | Obstetrics and Gynecology services | Emergency department provides 24-hour emergency services with sophisticated interventions | Ultrasound (USG) and electrocardiography (ECG) services | Pediatrics (Child Welfare) services for neonates, infants, children, and adolescents | Laboratory services conducting investigations | Pharmacy services dispensing drugs to in-patients and out-patients",internalMedicine | ophthalmology | gynecologyAndObstetrics | gynecologicalOncology | medicalOncology | psychiatry | pathology | generalSurgery | urology | emergencyMedicine | radiology | pediatrics,Ultramodern equipment | State-of-the-art technology,Adiebeba Specialist Hospital is one of the pioneers in private sector healthcare delivery in Ghana.,Medium
New Hope Clinic,Western,Enyinabrim,clinic,FALSE,"GhanaYello listing registered on 12 Apr, 2018. | Has 0 reviews on GhanaYello. | Listed in categories: Doctors and Clinics; Community Health Centres; Hospitals; Mental Health Care. | mental health | psychiatric care",Provides mental health and psychiatric care,psychiatry,,"New Hope Clinic is a private clinic in Western, Enyinabrim Ghana.",Medium
"Saint Luke Hospital, Kasei",Ashanti,Kumasi,hospital,FALSE,24 hour emergency | Engages in evangelism as part of its program. | Has 70-bed capacity. | Immunizes against childhood illnesses. | Laboratory diagnostic equipment. | Offers general surgeries. | Operates 24/7 emergency services. | Operates an eye clinic. | Promotes health education and disease prevention. | Provides 24-hour outpatient and inpatient care with emergency services. | Provides dental care. | Provides family planning services. | Provides psychiatry clinic services. | Ultrasound diagnostic equipment. | accident and emergency | antenatal care | blood tests | delivery | dental care | dental surgery | diagnostic imaging | diagnostic testing | emergency care | emergency medicine | emergency surgical care | eye care | eye surgery | general medicine | general surgery | imaging services | inpatient care | internal medicine | laboratory services | labour ward | maternity | maternity care | mental health | obstetrics | operating theatre | optical services | outpatient care | pathology lab | psychiatric care | radiology | surgery | surgical procedures | tooth extraction | trauma care | ultrasound | x-ray,"Provides 24-hour care and treatment of sick people at the Out-Patient Department (OPD) and In-Patient Departments (IPD). | Offers general surgeries. | Provides dental care. | Operates an eye clinic. | Provides psychiatry clinic services. | Provides reproductive and child health services including antenatal care, delivery, postnatal care and child welfare clinics (CWCs). | Provides HIV/AIDS services including Prevention of Mother-to-Child Transmission (PMTCT) and Voluntary Counseling and Testing (VCT). | Immunizes against childhood illnesses. | Provides family planning services. | Promotes health education and disease prevention. | Engages in evangelism as part of its program.",ophthalmology | generalSurgery | dentistry | psychiatry | gynecologyAndObstetrics | infectiousDiseases | familyPlanningAndComplexContraception | radiology | pathology | emergencyMedicine | internalMedicine,Ultrasound diagnostic equipment. | Laboratory diagnostic equipment.,"The St Luke Hospital, Kasei, is a mission hospital under the Luke Society Missions to provide holistic, affordable health services according to Christian principles on a non-commercial cost effective basis. It is located at Kasei via Ejura. The facility is a medium sized hospital with seventy (70) beds capacity in the Ejura Sekyeredumase Municipality and the Ashanti Region of Ghana.",High
Alhaji Nuhu Memorial Healthcare Centre,Western,Kamgbunli,clinic,FALSE,"24 hour emergency | Diagnostic imaging services are provided. | Dresses wounds | Emergency services are provided. | Family planning services are provided. | Has diagnostic imaging equipment | Has equipment for cuts, burns and wounds treatment | Has laboratory | Inpatient care is provided. | Laboratory services are provided. | Maternity services are provided. | Mental health services are provided. | Outpatient care is provided. | Performs diagnostic imaging | Performs laboratory tests | Provides emergency care | Provides family planning services | Provides in-patient care | Provides maternity care | Provides mental health services | Provides out-patient care | Treats burns | Treats cuts | Treats wounds | Wound care including cuts, burns and dressing is provided. | accident and emergency | antenatal care | blood tests | delivery | diagnostic imaging | diagnostic testing | emergency care | emergency medicine | general medicine | imaging services | inpatient care | internal medicine | laboratory services | labour ward | maternity | maternity care | mental health | obstetrics | outpatient care | pathology lab | psychiatric care | radiology | trauma care | ultrasound | x-ray",Provides emergency care | Provides out-patient care | Provides in-patient care | Performs diagnostic imaging | Performs laboratory tests | Provides maternity care | Provides mental health services | Provides family planning services | Treats cuts | Treats burns | Treats wounds | Dresses wounds,internalMedicine | emergencyMedicine | radiology | pathology | gynecologyAndObstetrics | psychiatry | familyPlanningAndComplexContraception,"Has laboratory | Has diagnostic imaging equipment | Has equipment for cuts, burns and wounds treatment","We are located at KAMGBUNLI in the Western Region of GHANA. Our services: emergency, out and in-patient care, diagnostic imaging, laboratory, maternity, mental health, family planning, cuts, burns and wounds’ treatment and dressing.",High
Al-Ayar Hospital,Greater Accra,Accra,hospital,FALSE,Has emergency department | Has general medical department | Has laboratory | Has laboratory department | Has pharmacy | Has pharmacy department | Has radiology department | Has radiology equipment | Performs general medical services | Performs radiology services | Provides emergency services | Provides laboratory services | Provides pharmacy services | general medicine | inpatient care | internal medicine | outpatient care,Provides emergency services | Performs general medical services | Provides laboratory services | Performs radiology services | Provides pharmacy services,internalMedicine,Has laboratory | Has radiology equipment | Has pharmacy,"Al-Ayar Hospital is a hospital, located at Al-Ayar Hospital, Dzagble Avenue, Accra, Ghana",Medium
